,DateKey,event_Incident_Prediction_Rolling,MaxDate,DateDiff
574,2018-03-02,2.425,5/16/2018,75
578,2018-03-03,3.975,5/16/2018,74
582,2018-03-04,3.95,5/16/2018,73
586,2018-03-05,3.175,5/16/2018,72
590,2018-03-06,3.025,5/16/2018,71
594,2018-03-07,5.725,5/16/2018,70
598,2018-03-08,6.9,5/16/2018,69
602,2018-03-09,6.825,5/16/2018,68
606,2018-03-10,6.775,5/16/2018,67
610,2018-03-11,6.15,5/16/2018,66
614,2018-03-12,7.25,5/16/2018,65
618,2018-03-13,6.85,5/16/2018,64
622,2018-03-14,6.95,5/16/2018,63
626,2018-03-15,6.825,5/16/2018,62
630,2018-03-16,7.4,5/16/2018,61
634,2018-03-17,7.2,5/16/2018,60
638,2018-03-18,6.775,5/16/2018,59
642,2018-03-19,6.7,5/16/2018,58
646,2018-03-20,5.1,5/16/2018,57
650,2018-03-21,6.15,5/16/2018,56
654,2018-03-22,8.65,5/16/2018,55
658,2018-03-23,8.85,5/16/2018,54
662,2018-03-24,9.175,5/16/2018,53
666,2018-03-25,11.1,5/16/2018,52
670,2018-03-26,12.5,5/16/2018,51
674,2018-03-27,12.475,5/16/2018,50
678,2018-03-28,13.675,5/16/2018,49
682,2018-03-29,13.075,5/16/2018,48
686,2018-03-30,13.875,5/16/2018,47
690,2018-03-31,13.175,5/16/2018,46
694,2018-04-01,13.025,5/16/2018,45
698,2018-04-02,12.95,5/16/2018,44
702,2018-04-03,10.45,5/16/2018,43
706,2018-04-04,10.1,5/16/2018,42
710,2018-04-05,10.5,5/16/2018,41
714,2018-04-06,10.65,5/16/2018,40
718,2018-04-07,9.625,5/16/2018,39
722,2018-04-08,8.925,5/16/2018,38
726,2018-04-09,9.05,5/16/2018,37
730,2018-04-10,7.95,5/16/2018,36
734,2018-04-11,7.975,5/16/2018,35
738,2018-04-12,7.275,5/16/2018,34
742,2018-04-13,7.4,5/16/2018,33
746,2018-04-14,7.15,5/16/2018,32
750,2018-04-15,8,5/16/2018,31
754,2018-04-16,8.8,5/16/2018,30
758,2018-04-17,8.925,5/16/2018,29
762,2018-04-18,8.825,5/16/2018,28
766,2018-04-19,8.45,5/16/2018,27
770,2018-04-20,8.125,5/16/2018,26
774,2018-04-21,8.175,5/16/2018,25
778,2018-04-22,8.2,5/16/2018,24
782,2018-04-23,8.125,5/16/2018,23
786,2018-04-24,7.5,5/16/2018,22
790,2018-04-25,7.975,5/16/2018,21
794,2018-04-26,7.975,5/16/2018,20
798,2018-04-27,8.05,5/16/2018,19
802,2018-04-28,7.875,5/16/2018,18
806,2018-04-29,7.425,5/16/2018,17
810,2018-04-30,6.625,5/16/2018,16
814,2018-05-01,7.325,5/16/2018,15
818,2018-05-02,8.05,5/16/2018,14
822,2018-05-03,8.675,5/16/2018,13
826,2018-05-04,9.2,5/16/2018,12
830,2018-05-05,9.425,5/16/2018,11
834,2018-05-06,9.525,5/16/2018,10
838,2018-05-07,9.175,5/16/2018,9
842,2018-05-08,9.125,5/16/2018,8
846,2018-05-09,9.775,5/16/2018,7
850,2018-05-10,9.925,5/16/2018,6
854,2018-05-11,10.225,5/16/2018,5
858,2018-05-12,10.625,5/16/2018,4
861,2018-05-13,11.4,5/16/2018,3
865,2018-05-14,11.125,5/16/2018,2
869,2018-05-15,10.125,5/16/2018,1
873,2018-05-16,9.4,5/16/2018,0
338,2018-01-01,0.625,5/17/2018,136
342,2018-01-02,0.425,5/17/2018,135
346,2018-01-03,0.475,5/17/2018,134
350,2018-01-04,0.475,5/17/2018,133
354,2018-01-05,0.3,5/17/2018,132
358,2018-01-06,0.45,5/17/2018,131
361,2018-01-07,0.525,5/17/2018,130
364,2018-01-08,0.35,5/17/2018,129
368,2018-01-09,1,5/17/2018,128
372,2018-01-10,1.4,5/17/2018,127
376,2018-01-11,2.15,5/17/2018,126
380,2018-01-12,3.4,5/17/2018,125
384,2018-01-13,3.725,5/17/2018,124
387,2018-01-14,4.15,5/17/2018,123
391,2018-01-15,4.3,5/17/2018,122
395,2018-01-16,4.725,5/17/2018,121
399,2018-01-17,6,5/17/2018,120
403,2018-01-18,5.95,5/17/2018,119
407,2018-01-19,5.95,5/17/2018,118
411,2018-01-20,5.95,5/17/2018,117
415,2018-01-21,5.7,5/17/2018,116
